Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
APISolvers, 6, 6, 1.0, 1.0, RED
AllProducts, 6, 6, 1.0, 1.0, RED
CoreFeatures, 6, 6, 1.0, 1.0, RED
DeadFeatures, 6, 6, 1.0, 1.0, RED
DecisionModel, 6, 6, 1.0, 1.0, RED
DepMng, 6, 6, 1.0, 1.0, RED
ErrorDetection, 6, 6, 1.0, 1.0, RED
ErrorDiagnosis, 6, 6, 1.0, 1.0, RED
Glucose, 6, 6, 1.0, 1.0, RED
Lingeling, 5, 5, 1.0, 1.0, RED
Linux, 5, 5, 1.0, 1.0, RED
MiniSAT, 6, 6, 1.0, 1.0, RED
ParserTechnology, 6, 6, 1.0, 1.0, RED
PicoSAT, 6, 6, 1.0, 1.0, RED
Utils, 6, 6, 1.0, 1.0, RED
ValidConfiguration, 6, 6, 1.0, 1.0, RED
ValidModel, 6, 6, 1.0, 1.0, RED
ValidProduct, 6, 6, 1.0, 1.0, RED
Win, 5, 5, 1.0, 1.0, RED
