Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
Glucose, 7, 7, 1.0, 1.0, RED
Lingeling, 7, 7, 1.0, 1.0, RED
Linux, 7, 7, 1.0, 1.0, RED
MiniSAT, 8, 8, 1.0, 1.0, RED
PicoSAT, 7, 7, 1.0, 1.0, RED
SimpleParse, 8, 8, 1.0, 1.0, RED
antlr4-python3-runtime, 8, 8, 1.0, 1.0, RED
lark-parser, 8, 8, 1.0, 1.0, RED
pipdeptree, 7, 7, 1.0, 1.0, RED
pybind11, 7, 7, 1.0, 1.0, RED
pydepqbf, 8, 8, 1.0, 1.0, RED
satispy, 8, 8, 1.0, 1.0, RED
satyrn, 8, 8, 1.0, 1.0, RED
six, 7, 7, 1.0, 1.0, RED
umo, 8, 8, 1.0, 1.0, RED
