Method, Sample size, Valid configs, Defective configs, Time (s)
"Random Strategy", 250, 21, 12, 0.3173637390136719, 
"Random Strategy", 500, 34, 19, 0.6532831192016602, 
"Random Strategy", 750, 64, 32, 0.948488712310791, 
"Random Strategy", 1000, 84, 55, 1.2568252086639404, 
"Random Strategy", 1250, 109, 67, 1.5737807750701904, 
"Random Strategy", 1500, 149, 82, 1.958587884902954, 
"Random Strategy", 1750, 160, 99, 2.214247465133667, 
"Random Strategy", 2000, 186, 123, 2.522155523300171, 
"Random Strategy", 2250, 186, 120, 2.8944790363311768, 
"Random Strategy", 2500, 238, 145, 3.163257598876953, 
"MonteCarlo basic (sc:iters=10)", 0, 0, 0, 0.0001316070556640625, 
"MonteCarlo basic (sc:iters=10)", 250, 150, 149, 42.02081894874573, 
"MonteCarlo basic (sc:iters=10)", 500, 297, 295, 84.0448055267334, 
"MonteCarlo basic (sc:iters=10)", 750, 433, 429, 126.965585231781, 
"MonteCarlo basic (sc:iters=10)", 1000, 579, 570, 172.09087800979614, 
"MonteCarlo basic (sc:iters=10)", 1250, 712, 705, 213.37584733963013, 
"MonteCarlo basic (sc:iters=10)", 1500, 857, 845, 259.2165253162384, 
"MonteCarlo basic (sc:iters=10)", 1750, 1003, 988, 304.4387948513031, 
"MonteCarlo basic (sc:iters=10)", 2000, 1150, 1129, 341.40878534317017, 
"MonteCarlo basic (sc:iters=10)", 2250, 1294, 1266, 390.7352955341339, 
"MonteCarlo basic (sc:iters=10)", 2500, 1427, 1405, 428.9979090690613, 
"MonteCarlo basic (sc:iters=100)", 0, 0, 0, 0.0001316070556640625, 
"MonteCarlo basic (sc:iters=100)", 250, 248, 248, 342.4859781265259, 
"MonteCarlo basic (sc:iters=100)", 500, 496, 496, 679.1615786552429, 
"MonteCarlo basic (sc:iters=100)", 750, 745, 745, 1027.8763473033905, 
"MonteCarlo basic (sc:iters=100)", 1000, 995, 995, 1368.5565438270569, 
"MonteCarlo basic (sc:iters=100)", 1250, 1242, 1242, 1736.0547504425049, 
"MonteCarlo basic (sc:iters=100)", 1500, 1493, 1492, 2065.3664903640747, 
"MonteCarlo basic (sc:iters=100)", 2500, 2480, 2480, 3386.796688079834, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 0, 0, 0, 0, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 250, 147, 145, 41.89649224281311, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 500, 308, 295, 82.49439573287964, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 750, 452, 445, 126.37395930290222, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 1000, 628, 612, 168.5219373703003, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 1250, 744, 720, 211.36880540847778, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 1500, 933, 919, 249.52268743515015, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 1750, 1092, 1057, 291.55188941955566, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 2000, 1269, 1213, 333.99940729141235, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 2250, 1388, 1360, 374.3177616596222, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 2500, 1563, 1522, 421.8354880809784, 

