Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
DepMng, 1, 2, 2.0, 1.0, RED
Metamodels, 47, 93, 1.98, 0.91, RED
Operations, 1, 2, 2.0, 1.0, RED
SPLOT, 1, 2, 2.0, 1.0, RED
SimpleParse, 1, 2, 2.0, 1.0, RED
Solvers, 44, 88, 2.0, 1.0, RED
System, 23, 45, 1.96, 0.83, RED
UVL, 1, 2, 2.0, 1.0, RED
Utils, 1, 2, 2.0, 1.0, RED
ebnf, 1, 2, 2.0, 1.0, RED
pycosat, 36, 71, 1.97, 0.89, RED
pycryptosat, 78, 155, 1.99, 0.95, RED
pydepqbf, 20, 39, 1.95, 0.8, RED
pyglucose, 138, 275, 1.99, 0.97, RED
python-sat, 15, 29, 1.93, 0.73, ORANGE
satispy, 6, 11, 1.83, 0.33, GREEN
satyrn, 4, 7, 1.75, 0.0, BLUE
umo, 21, 41, 1.95, 0.81, RED
