Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
DepMng, 1, 2, 2.0, 1.0, RED
Glucose, 1, 2, 2.0, 1.0, RED
Lingeling, 1, 2, 2.0, 1.0, RED
Linux, 1, 2, 2.0, 1.0, RED
Metamodels, 50, 99, 1.98, 0.74, ORANGE
MiniSAT, 1, 2, 2.0, 1.0, RED
Operations, 1, 2, 2.0, 1.0, RED
PicoSAT, 1, 2, 2.0, 1.0, RED
SPLOT, 1, 2, 2.0, 1.0, RED
SimpleParse, 1, 2, 2.0, 1.0, RED
UVL, 1, 2, 2.0, 1.0, RED
Utils, 1, 2, 2.0, 1.0, RED
ebnf, 1, 2, 2.0, 1.0, RED
pycosat, 13, 25, 1.92, 0.0, BLUE
pycryptosat, 97, 194, 2.0, 1.0, RED
pydepqbf, 1, 2, 2.0, 1.0, RED
satispy, 1, 2, 2.0, 1.0, RED
umo, 1, 2, 2.0, 1.0, RED
