Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
DepMng, 1, 2, 2.0, 1.0, RED
Glucose, 1, 2, 2.0, 1.0, RED
Lingeling, 1, 2, 2.0, 1.0, RED
Metamodels, 44, 87, 1.98, 0.84, RED
MiniSAT, 1, 2, 2.0, 1.0, RED
Operations, 1, 2, 2.0, 1.0, RED
PicoSAT, 1, 2, 2.0, 1.0, RED
SPLOT, 1, 2, 2.0, 1.0, RED
SimpleParse, 1, 2, 2.0, 1.0, RED
System, 38, 75, 1.97, 0.82, RED
UVL, 1, 2, 2.0, 1.0, RED
Utils, 1, 2, 2.0, 1.0, RED
ebnf, 1, 2, 2.0, 1.0, RED
pycosat, 35, 69, 1.97, 0.8, RED
pycryptosat, 1, 2, 2.0, 1.0, RED
pydepqbf, 1, 2, 2.0, 1.0, RED
pyglucose, 12, 24, 2.0, 1.0, RED
python-sat, 7, 13, 1.86, 0.0, BLUE
satispy, 1, 2, 2.0, 1.0, RED
satyrn, 1, 2, 2.0, 1.0, RED
umo, 1, 2, 2.0, 1.0, RED
